Timestamp,Diesel B20,Diesel,Diesel B7,E85,E20,Gasohol 91,Gasohol 95,Benzene,Superpower Diesel B7,Superpower Gasohol 95
29-06-2565 05:00,35.38,35.38,35.38,37.98,44.48,45.32,45.59,53.00,46.80,51.08
22-06-2565 05:00,35.38,35.38,35.38,37.68,43.98,44.82,45.09,52.50,46.80,50.58
14-06-2565 05:00,35.38,35.38,35.38,37.98,44.48,45.32,45.59,53.00,46.80,51.08
08-06-2565 05:00,34.38,34.38,34.38,37.58,43.88,44.72,44.99,52.40,45.80,50.48
07-06-2565 05:00,34.38,34.38,34.38,37.28,43.38,44.22,44.49,51.90,45.80,49.98
01-06-2565 05:00,33.38,33.38,33.38,37.68,43.98,44.82,45.09,52.50,44.80,50.58
31-05-2565 05:00,33.38,33.38,33.38,37.18,43.18,44.02,44.29,51.70,44.80,49.78
28-05-2565 05:00,32.38,32.38,32.38,37.18,43.18,44.02,44.29,51.70,42.80,49.78
24-05-2565 05:00,32.38,32.38,32.38,36.78,42.78,43.62,43.89,51.30,42.80,49.38
19-05-2565 05:00,32.38,32.38,32.38,36.28,42.28,43.12,43.39,50.80,40.80,48.88
16-05-2565 05:00,32.38,32.38,32.38,35.68,41.28,42.12,42.39,49.80,40.80,47.88
12-05-2565 05:00,32.38,32.38,32.38,34.68,40.68,41.52,41.79,49.20,39.80,47.28
07-05-2565 05:00,32.38,32.38,32.38,35.18,41.18,42.02,42.29,49.70,39.80,47.78
06-05-2565 05:00,32.38,32.38,32.38,34.68,40.38,41.22,41.49,48.90,39.80,46.98
04-05-2565 05:00,32.38,32.38,32.38,33.88,39.58,40.42,40.69,48.10,39.80,46.18
01-05-2565 05:00,32.38,32.38,32.38,33.28,38.98,39.82,40.09,47.50,38.40,45.58
29-04-2565 05:00,30.38,30.38,30.38,32.28,38.98,39.82,40.09,47.50,36.40,45.58
27-04-2565 05:00,30.38,30.38,30.38,31.48,38.18,39.02,39.29,46.70,36.40,44.78
23-04-2565 05:00,30.38,30.38,30.38,32.28,38.98,39.82,40.09,47.50,36.40,45.58
19-04-2565 05:00,30.38,30.38,30.38,31.68,38.38,39.22,39.49,46.90,36.40,44.98
09-04-2565 05:00,30.38,30.38,30.38,30.88,37.58,38.42,38.69,46.10,36.40,44.18
08-04-2565 05:00,30.38,30.38,30.38,31.48,38.18,39.02,39.29,46.70,36.40,44.78
05-04-2565 05:00,30.38,30.38,30.38,30.98,37.68,38.52,38.79,46.20,36.40,44.28
02-04-2565 05:00,30.38,30.38,30.38,31.58,38.28,39.12,39.39,46.80,36.40,44.88
31-03-2565 05:00,30.38,30.38,30.38,32.08,38.78,39.62,39.89,47.30,36.40,45.38
29-03-2565 05:00,30.38,30.38,30.38,32.68,39.38,40.22,40.49,47.90,36.40,45.98
26-03-2565 05:00,30.38,30.38,30.38,33.18,39.88,40.72,40.99,48.40,36.40,46.48
23-03-2565 05:00,30.38,30.38,30.38,32.58,39.28,40.12,40.39,47.80,36.40,45.88
22-03-2565 05:00,30.38,30.38,30.38,31.98,38.68,39.52,39.79,47.20,36.40,45.28
17-03-2565 05:00,30.38,30.38,30.38,31.38,38.08,38.92,39.19,46.60,36.40,44.68
15-03-2565 05:00,30.38,30.38,30.38,32.38,39.08,39.92,40.19,47.60,36.40,45.68
10-03-2565 05:00,30.38,30.38,30.38,32.78,39.48,40.32,40.59,48.00,36.40,46.08
09-03-2565 05:00,30.38,30.38,30.38,31.98,38.68,39.52,39.79,47.20,36.40,45.28
08-03-2565 05:00,30.38,30.38,30.38,30.98,37.68,38.52,38.79,46.20,36.40,44.28
05-03-2565 05:00,30.38,30.38,30.38,30.38,37.08,37.92,38.19,45.60,36.40,43.68
04-03-2565 05:00,30.38,30.38,30.38,29.78,36.48,37.32,37.59,45.00,36.40,43.08
02-03-2565 05:00,30.18,30.18,30.18,29.18,35.88,36.72,36.99,44.40,36.20,42.48
01-03-2565 05:00,29.58,29.58,29.58,29.18,35.88,36.72,36.99,44.40,35.60,42.48
26-02-2565 05:00,29.58,29.58,29.58,29.18,35.88,36.72,36.99,44.40,35.60,-
24-02-2565 05:00,28.98,28.98,28.98,28.78,35.48,35.92,36.59,44.00,35.00,51.08
19-02-2565 05:00,28.38,28.38,28.38,28.38,35.08,35.92,36.19,43.60,34.40,-
18-02-2565 00:00,28.38,28.38,28.38,28.78,35.48,36.32,36.59,44.00,34.40,-
16-02-2565 05:00,30.38,30.38,30.38,28.78,35.48,36.32,36.59,44.00,36.40,-
12-02-2565 05:00,30.38,30.38,30.38,28.18,34.88,35.72,35.99,43.40,36.40,-
08-02-2565 05:00,30.38,30.38,30.38,27.68,34.38,35.22,35.49,42.90,36.40,-
02-02-2565 05:00,30.38,30.38,30.38,27.18,33.88,34.72,34.99,42.40,36.40,-
28-01-2565 05:00,30.38,30.38,30.38,26.58,33.28,34.22,34.49,41.90,36.40,-
25-01-2565 05:00,30.38,30.38,30.38,25.98,32.68,33.72,33.99,41.40,36.40,-
20-01-2565 05:00,30.38,30.38,30.38,25.38,32.08,33.32,33.59,41.00,36.40,-
14-01-2565 05:00,30.28,30.28,30.28,25.08,31.58,32.82,33.09,40.50,36.30,-
11-01-2565 05:00,30.28,30.28,30.28,24.78,31.08,32.32,32.59,40.00,36.30,-
08-01-2565 05:00,29.88,29.88,29.88,24.58,30.68,31.92,32.19,39.60,35.90,-
05-01-2565 05:00,29.48,29.48,29.48,24.58,30.68,31.92,32.19,39.60,35.50,51.08
